timestamp,date,open,high,low,close
1665532800,10/12/2022,1279.87,1304.36,1276,1294.41
1665446400,10/11/2022,1290.054126,1297.138045,1268.541627,1279.769451
1665360000,10/10/2022,1323.408965,1336.620905,1289.303986,1290.725626
1665273600,10/9/2022,1315.673362,1328.62,1308.033024,1323.208332
1665273480,10/8/2022,1315.460274,undefined,undefined,undefined
1665187200,10/8/2022,1331.028949,1336.425648,1304.781572,1315.43
1665100800,10/7/2022,1351.956267,1360.514962,1320.055232,1332.207299
1665100740,10/6/2022,1352.27265,undefined,undefined,undefined
1665014400,10/6/2022,1351.940859,1382.21,1347.746847,1351.338316
1665014340,10/5/2022,1352.688461,undefined,undefined,undefined
1664928000,10/5/2022,1362.733687,1363.905269,1318.456036,1353.029008
1664927940,10/4/2022,1361.996568,undefined,undefined,undefined
1664841600,10/4/2022,1323.759586,1367.237481,1319.901422,1362.661272
1664841540,10/3/2022,1323.082507,undefined,undefined,undefined
1664755200,10/3/2022,1277.064334,1328.951237,1267.482688,1324.11411
1664755140,10/2/2022,1275.357306,undefined,undefined,undefined
1664668800,10/2/2022,1311.032589,1316.976633,1273.201372,1275.004269
1664668740,10/1/2022,1311.706687,undefined,undefined,undefined
1664582400,10/1/2022,1328.191626,1333.789861,1304.049604,1311.150405
1664582340,9/30/2022,1328.57435,undefined,undefined,undefined
1664496000,9/30/2022,1336.343158,1370.049612,1316.997632,1327.615949
1664495940,9/29/2022,1336.037678,undefined,undefined,undefined
1664409600,9/29/2022,1337.384276,1350.086626,1292.58672,1335.796067
1664409540,9/28/2022,1337.727034,undefined,undefined,undefined
1664323200,9/28/2022,1329.747632,1354.758562,1267.331422,1336.781095
1664323140,9/27/2022,1330.546572,undefined,undefined,undefined
1664236800,9/27/2022,1336.710241,1398.903987,1305.402921,1330.528126
1664236740,9/26/2022,1337.663472,undefined,undefined,undefined
1664150400,9/26/2022,1294.524955,1339.436619,1281.706433,1337.277544
1664064000,9/25/2022,1317.25248,1336.04359,1272.632988,1293.404104
1663977600,9/24/2022,1326.992169,1348.313297,1309.258666,1317.517159
1663891200,9/23/2022,1326.488748,1355.755615,1262.926518,1329.037246
1663804800,9/22/2022,1245.825035,1346.193813,1238.096004,1326.270916
1663718400,9/21/2022,1322.902978,1390.90634,1223.516212,1252.188249
1663632000,9/20/2022,1376.185632,1383.249224,1314.911688,1323.271748
1663545600,9/19/2022,1334.690992,1391.655024,1288.041846,1374.88592
1663459200,9/18/2022,1469.024128,1469.024128,1328.250391,1334.477715
1663372800,9/17/2022,1433.820488,1474.499684,1411.631063,1469.700915
1663286400,9/16/2022,1472.997803,1482.889985,1412.566443,1432.193197
1663200000,9/15/2022,1638.804005,1650.982099,1460.950815,1472.670334
1663113600,9/14/2022,1574.734703,1646.961997,1558.483825,1637.358246
1663027200,9/13/2022,1717.602483,1753.406154,1565.768457,1573.055768
1663027140,9/12/2022,1716.610945,undefined,undefined,undefined
1662940800,9/12/2022,1763.274236,1780.775862,1694.278144,1716.634046
1662940740,9/11/2022,1763.827199,undefined,undefined,undefined
1662854400,9/11/2022,1777.054718,1787.66622,1723.036922,1763.095385
1662854340,9/10/2022,1776.126995,undefined,undefined,undefined
1662768000,9/10/2022,1717.763159,1786.7869,1709.787543,1776.133142
1662767940,9/9/2022,1720.641642,undefined,undefined,undefined
1662681600,9/9/2022,1634.047784,1743.125285,1632.994128,1721.049299
1662681540,9/8/2022,1635.539773,undefined,undefined,undefined
